"ELTGNR_CD","BSNS_PARTCPTN_STTUS_CMMN_CD","TITLE","EQP_CPCTY_CMMN_CD","BIZRNO","KMOS_MBERNO","KMOS_PRMISNNO","KMOS_REGISTNO","KMOS_REC_ACNTNO","ESS_YN","ESS_CPCTY","REGIST_DT","UPDT_DT","BSNS_PARTCPTN_DT","MRNR_SPORT_CMMN_CD","CSTMR_DSTBRT","BSNM_DSTBRT","CNTRCT_DT","MBER_ID","ELTGNR_NM","VPP_ELTGNR_CD","DVLP_RESRCE_CMMN_CD","EQP_CPCTY","LOCPLC"
"7f7ce73e-024b-486a-b063-3b827453a429","448808fd-47af-46e9-8e10-5ceca4bc3331","22070007_코로나에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","2578801087","3050",전남 제4358호,A723/3450,PV07-R-045753,Y,2000000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",CR3287,코로나에너지태양광발전소,"00584c54-5fcc-4237-a255-91b3646f3892","68caa790-e6c1-4de2-9370-81ae5f8c10ae",996300,경상남도 의령군 봉곡리 산 194
"7fb00a5c-4cc9-483c-9b3d-b5ae67f01109","448808fd-47af-46e9-8e10-5ceca4bc3331",금강송제10태양광(청운에너지),"884939cd-0c4a-41a6-ab41-71cb42611a75","1068712955","4673",제 2016-5250000-38-5-00010 호,"7040",PV10-R-047373,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2023-04-03 00:00:00",cu6879,금강송제10태양광,f3d2842a-2b61-44ff-8ddf-4482b27ccc28,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",750000,강원도 고성군 간성읍 어천리 산 207
"81d1e37f-364b-4421-881b-1da0d22bd873","448808fd-47af-46e9-8e10-5ceca4bc3331","22060003_케이에스에너지삼호","884939cd-0c4a-41a6-ab41-71cb42611a75","3478600674","2978",충남 제1222호,"5862",PV10-R-024121,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-06-28 00:00:00",ke6067,케이에스에너지삼호태양광,"308fb452-1ae8-419d-9a35-d18c7b6a813b","68caa790-e6c1-4de2-9370-81ae5f8c10ae",486640,강원도 고성군 죽왕면 구성리 산53-2
"81e673b9-14b3-4870-9953-788a3a50321a","448808fd-47af-46e9-8e10-5ceca4bc3331","22090001_낙안솔라8호","884939cd-0c4a-41a6-ab41-71cb42611a75","2541800922","3348",순천 제383호,"5840/8421",PV12-R-024328,Y,99000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",Nakahn08,낙안솔라8호 태양광발전소,b8eb60ae-bfe1-433c-83bb-44f1785573ba,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",996840,의성군 사곡면 화전리 1958-1
"87d7843e-d956-435d-a57f-58e016f86b29","448808fd-47af-46e9-8e10-5ceca4bc3331","21090032_SH화전태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","4898800690","1036",의성군 제2017-80호,"6378",PV10-R-028498,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",sw9008,SH화전태양광발전소,d99c9f45-dd14-4405-824c-d084f31dc3d9,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",98825,전라남도 순천시 별량면 쌍림리 121
"8c29dc6e-d6db-4127-842a-b8c4a44ca97a","448808fd-47af-46e9-8e10-5ceca4bc3331","21090043_애월 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","3168701808","1091",제 2020-6500000-81-00180 호,AQ97,PV10-R-052172,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",jeju82,애월 태양광발전소,"3ec307df-54e9-488b-9cb5-4b01bc778d6e","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2476800,"경상북도 구미시 고아읍 파산리 산20-1,2"
"8cc69181-3fbc-4adb-8fd6-d4bc3501d4b4","448808fd-47af-46e9-8e10-5ceca4bc3331",영진태양광 발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","2278118142","4675",제2011-6420000-81-00059호,BE75,PV07-S-0846,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-03-28 00:00:00",jhc2500,영진태양광발전소,"1e674d68-8488-4e2d-98b2-81882fb9283f","68caa790-e6c1-4de2-9370-81ae5f8c10ae",197100,제주시 한림읍 동명리 110-2
"916796ee-88b1-499c-ba44-303883dfaba5","448808fd-47af-46e9-8e10-5ceca4bc3331","21090016_희윤2 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","6163102073","1278",제 2014-6500000-81-00208호,"4806",PV12-R-011877,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-10 00:00:00",hy1120,희윤2태양광발전소,"676db8be-5af9-4ac4-800e-9937787fc565","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99645,전라남도 순천시 낙안면 창녕리 879-3
"96969df0-24b5-4c47-ab66-6c34a777e828","448808fd-47af-46e9-8e10-5ceca4bc3331",대주중공업태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","1318113040","4705",공주제14-89호,BK38,PV15-S-3849,N,0,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-05-08 00:00:00",DJ7121,대주중공업태양광발전소,"75f83c25-c02a-4bed-86be-543e7cc9a23e","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99125,전라남도 순천시 낙안면 창녕리 879-13
a32cac28-cad9-4411-8f0a-31e4e4134303,"448808fd-47af-46e9-8e10-5ceca4bc3331",참빛1호 태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","1111121086","4713",제2017-84호,BC08,PV10-R-035749,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","05295c49-3fe4-46ea-ad6c-471ec251e6ce",60,40,"2023-03-28 00:00:00",kkinam0326,참빛1호 태양광발전소,"73eda68a-b282-4c73-8f2c-da7a08808ed7","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-12
a561c577-3e06-4f45-a8ff-cfa74dc1373d,"448808fd-47af-46e9-8e10-5ceca4bc3331","22090026_낙안솔라10호","884939cd-0c4a-41a6-ab41-71cb42611a75","1580900729","3486",순천 제372호,"7646/3090",PV12-R-025074,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-23 00:00:00",Nakahn10,낙안솔라10호 태양광발전소,"02016af1-bede-4c99-8fa2-90d3a4756ea4","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-11
acf612c9-23e3-4f2c-b021-0e979b96fbf0,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070017_글로리어스","884939cd-0c4a-41a6-ab41-71cb42611a75","6678701346","3052",전남 제4359호,A764/3475,PV07-R-045726,Y,1000000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",GR3287,글로리어스태양광발전소,d6298f23-d000-42f3-ae93-fd0d5b6d3148,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-9
b0c1394c-2040-415e-9d81-181498e1ba83,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090058_한전리 태양광발전소 1호","884939cd-0c4a-41a6-ab41-71cb42611a75","4308101683","1011",양구군 제2020년-75호,AL25,PV10-R-052434,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",tspower8734,한전리 태양광발전소 1호,ff595857-89ae-470a-82b2-c93cad044f38,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99000,서귀포시 성산읍 난산리 2707-6
b4d6a6f3-44f3-48b3-8d41-3f8b5dc34f91,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090019_도원1호태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","6832400984","1005",제 2020-6500000-81-00047 호,AH16,PV10-R-049446,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-08-10 00:00:00",dowon1,도원1호 태양광발전소,"36f5829b-7eef-4a7f-b00e-52314285df72","68caa790-e6c1-4de2-9370-81ae5f8c10ae",940800,"강원도 태백시 통동 140-2,8,11, 산39-3"
c39b2c65-5db6-4b9c-b594-bc19b9725546,"448808fd-47af-46e9-8e10-5ceca4bc3331","22090008_지유태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","6162729298","3350",제2010-6500000-81-00014호,"1730/3408",PV07-R-0380,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",jiyou,지유태양광발전소,de6da438-dfbb-4469-8f93-30029cbfea2d,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",288000,"경기도 안성시 죽산면 용설리 137,209,210,212-2"
c63fc78a-b651-44c6-aef5-f2ee3eb0080e,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070013_바다태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","2518800979","3049",전남 제4352호,A724/3451,PV07-R-045708,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",BD3287,바다태양광발전소,fd0e2b6d-76b1-49c3-9916-70f4e5dd3c33,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",991510,진안군 상전면 진무로1809-27(산124-6외7필
cc40a006-80e6-4211-9351-def2cbd6e1f1,"448808fd-47af-46e9-8e10-5ceca4bc3331","22080017_아텍솔라파워","884939cd-0c4a-41a6-ab41-71cb42611a75","6228801035","3462",태백시 제2018-4220000-38-5-00022호,A010/4028,PV10-R-043763,Y,800000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-08-31 00:00:00",atec03,아텍솔라 태백3호 태양광발전소,"73c26adf-7643-4eb4-87d7-fa026addd531","68caa790-e6c1-4de2-9370-81ae5f8c10ae",999080,청주시 서원구 현도면 죽암리 산54
d4e1d6c1-e73d-44b3-8cc0-990b1daa6a83,"448808fd-47af-46e9-8e10-5ceca4bc3331","21100027_케이그린에너지2","884939cd-0c4a-41a6-ab41-71cb42611a75","1018679314","220",제 2014-6500000-81-00143 호,"5447",PV10-R-018148,N,0,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-10-12 00:00:00",cbh5858,케이그린에너지2,"7a86827a-6f22-4141-adb5-faa7c9dc62b9","68caa790-e6c1-4de2-9370-81ae5f8c10ae",997120,"강원도 평창군 대화면 대화리 1096,1097,1648,1657,1658,1659"
d7be2436-5234-4dd3-b36f-fa0533ee0d15,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070022_강토에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","1628100869","3055",전남 제4344호,A738/3456,PV07-R-045698,Y,2500000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",KT3287,강토에너지태양광발전소,ccdb7ff6-6503-4ed6-80db-aaf782338d5e,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",993600,"진부면 마평리 572, 528, 530, 530-1"
dfe8d75e-aa17-4508-8c2e-1ce302c77c17,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070019_광염에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","2198701147","3060",전남 제4346호,A713/3440,PV07-R-045733,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",GY3287,광염에너지 태양광발전소,"26036121-7c90-42d5-a48b-067dc12faeac","68caa790-e6c1-4de2-9370-81ae5f8c10ae",1270620,울진군 금강송면 광회리 산4번지
e2bcc105-25d7-48e7-b2d3-8f35bc762687,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090010_도송태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","3762800707","1302",제2018-6500000-81-00274,"7605",PV11-R-032963,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-08-10 00:00:00",ds20672067,도송태양광발전소,"9f0a8eea-6101-4bf6-a73c-ebb8960c2b11","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2499840,천안시 동남구 동면 장송리 산67
eb27cab2-92ba-4b2e-83a1-c3e43720c5b8,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070018_교촌태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","3058701259","3048",전남 제4377호,A716/3443,PV07-R-045709,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",KC3287,교촌태양광발전소,"5ef7306f-f37a-49b2-8feb-b72d68c69f28","68caa790-e6c1-4de2-9370-81ae5f8c10ae",496400,서귀포시 호근동 958
ed09a93c-549a-4580-bfde-a63c88b92dc2,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090059_한영발전 주식회사","884939cd-0c4a-41a6-ab41-71cb42611a75","3618101451","1094",제 2020-6500000-81-00020 호,AJ70,PV10-R-049998,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-08-10 00:00:00",HY3074,한영발전,"443e2988-e3ba-455d-ae4a-30ffbf967ab3","68caa790-e6c1-4de2-9370-81ae5f8c10ae",686250,"애월읍 납읍리 1182~3, 738, 739 번지"
ef160f8f-5e01-4135-b03c-7f8a55c29899,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070009_우평태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","8788101003","3061",전남 제4368호,A714/3441,PV07-R-045732,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",WP3287,우평태양광발전소,"2e11a2d2-b46c-4059-bb92-90c0d17c3f9a","68caa790-e6c1-4de2-9370-81ae5f8c10ae",910000,"애월읍 수산리 1558~9, 1561-3 1564"
f3542f0b-51ea-4ea7-8a8c-095cb27e1d91,"448808fd-47af-46e9-8e10-5ceca4bc3331","22090002_낙안솔라9호","884939cd-0c4a-41a6-ab41-71cb42611a75","3474600455","3354",순천 제613호,A598/3372,PV12-K-006089,Y,99000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",Nakahn09,낙안솔라9호 태양광발전소,"9a74a86c-5455-42e6-98e8-e3284244170d","68caa790-e6c1-4de2-9370-81ae5f8c10ae",396880,서귀포시 대정읍 신도리 259-2
f3b0266a-0705-4c7a-a49c-4074d0111c68,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090053_㈜쏠태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","3218600202","1013",전북 제2016-26호,"6667/8171",PV10-R-019724,Y,1000000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",ss0229,쏠태양광발전소,"6285d1cc-c655-426c-b3cd-a949eb13031c","68caa790-e6c1-4de2-9370-81ae5f8c10ae",727760,"서귀포시 중문동 257, 257번지"
f5054b7e-da8c-4526-a321-47b3e179b3d0,"448808fd-47af-46e9-8e10-5ceca4bc3331","23030009_지원솔라","884939cd-0c4a-41a6-ab41-71cb42611a75","3968700300","4385",제2016-18호,"5611",PV10-R-020123,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2023-03-29 00:00:00",jw1873,주식회사 지원쏠라,"5caf996f-d767-426f-b0b1-6e1f6f65b8ce","68caa790-e6c1-4de2-9370-81ae5f8c10ae",485940,제주시 애월읍 어음 13길 196-49 어음리 45
f838dff7-76db-4df0-9a13-4f2efb7eef44,"448808fd-47af-46e9-8e10-5ceca4bc3331",마평에너지나비 태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","7068701054","4894","2019-4280000-38-5-00083",BJ97,PV10-R-044979,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-04-25 00:00:00",ER2796,마평에너지나비 태양광발전소,"074b2d52-803a-4b54-848c-8c6edcfd161c","68caa790-e6c1-4de2-9370-81ae5f8c10ae",485940,양구군 양구읍 한전리 392
